timestamp,name,categories,zone,alert,gender,gender_conf,age_bucket,detection_type
2026-07-08 16:26:08,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:08,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:09,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:09,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:10,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:10,Unknown,,Cloth Section,,,,,person
2026-07-08 16:27:11,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:12,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:13,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:14,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:15,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:27,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:27:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:27,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:44,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:45,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:46,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:47,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:48,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:49,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:50,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:51,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:52,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:53,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:54,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:55,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:56,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:57,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:58,Unknown,,Crowd1,,,,,person
2026-07-08 16:29:59,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:00,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:01,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:02,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:03,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:04,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:05,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:06,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:07,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:08,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:09,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:10,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:11,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:12,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:13,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:14,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:15,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:27,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:28,Unknown,,Cloth Section,,,,,person
2026-07-08 16:30:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:29,Unknown,,Cloth Section,,,,,person
2026-07-08 16:30:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:30,Unknown,,Cloth Section,,,,,person
2026-07-08 16:30:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:30:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:15,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:27,Unknown,,Crowd1,,,,,person
